S_No,Latitude,Longitude
1,5.960604,80.45626
2,5.941593,80.512006
3,5.94126,80.467737
4,5.94318,80.504417
5,6.88177,79.90118
6,6.066598,80.731694
7,6.522278,80.114764
8,6.720073,79.907609
9,6.708361,79.907946
10,6.816414,79.982521
11,6.811409,79.975215
12,6.890507,79.928893
13,6.915381,79.877805
14,6.937128,79.855621
15,6.934063,79.850549
16,6.865112,79.911971
17,6.922667,79.951875
18,6.891903,79.87716
19,6.833538,79.86725
20,7.139915,80.095426
21,6.889033,79.905613
22,6.981122,79.929845
23,6.904555,79.953266
24,6.90521,79.949551
25,6.904937,79.950192
26,6.90798,79.945139
27,6.904497,79.953751
28,6.902493,79.915053
29,6.902377,79.914315
30,6.883937,79.901579
31,6.882887,79.898724
32,6.881957,79.897147
33,6.902152,79.905773
34,6.903409,79.907157
35,6.903334,79.907683
36,6.902195,79.918186
37,6.917938,79.877786
38,6.869495,79.888049
39,6.90875,79.896147
40,6.908682,79.943904
41,6.878825,79.894497
42,6.874267,79.891761
43,6.872584,79.890677
44,6.898269,79.906181
45,6.280231,80.040664
46,6.894696,79.905586
47,5.99928,80.519579
48,5.972828,80.519447
49,5.959901,80.528828
50,6.876072,79.900384
51,6.876535,79.900531
52,6.16644,80.897872
53,6.725247,80.029646
54,6.866579,79.876167
55,6.839167,79.972523
56,6.131641,80.101426
57,6.146161,80.099513
58,6.149581,80.098609
59,6.151961,80.096844
60,6.154315,80.095435
61,6.157951,80.092388
62,6.162342,80.091328
63,6.16611,80.089749
64,6.168809,80.087624
65,6.171683,80.085235
66,6.175076,80.081369
67,6.175272,80.08093
68,6.179051,80.077253
69,6.179245,80.07686
70,6.183299,80.072295
71,6.183724,80.071637
72,6.188471,80.066625
73,6.188851,80.066128
74,6.191683,80.063181
75,6.192429,80.062748
76,6.208497,80.061936
77,6.208621,80.061662
78,6.21205,80.060142
79,6.216119,80.058582
80,6.218799,80.057888
81,6.225322,80.05507
82,6.233383,80.054584
83,6.242267,80.049655
84,6.244152,80.048065
85,6.246157,80.046351
86,6.250694,80.0432
87,6.253266,80.041566
88,6.256208,80.039467
89,6.259618,80.037727
90,6.262188,80.037394
91,6.266675,80.035295
92,6.269086,80.037276
93,6.271993,80.038981
94,6.275136,80.039172
95,6.285046,80.041196
96,6.288564,80.041264
97,6.289475,80.041032
98,6.291631,80.041099
99,6.292076,80.040924
100,6.295605,80.040943
101,6.29639,80.04039
102,6.297865,80.040118
103,6.300677,80.038761
104,6.304971,80.038128
105,6.306948,80.036136
106,6.309048,80.034524
107,6.30939,80.034221
108,6.31421,80.03476
109,6.319337,80.032738
110,6.322841,80.034327
111,6.323075,80.034159
112,6.325518,80.034017
113,6.325895,80.0336
114,6.328378,80.033208
115,6.328808,80.032794
116,6.33131,80.032245
117,6.331811,80.031758
118,6.334915,80.030776
119,6.335262,80.030456
120,6.340277,80.027445
121,6.343997,80.025503
122,6.344319,80.025203
123,6.346045,80.023741
124,6.353151,80.018702
125,6.368271,80.011796
126,6.374397,80.010219
127,6.390552,80.00716
128,6.419237,80.002399
129,6.829865,79.868122
130,5.942259,80.514478
131,6.846415,79.927708
132,6.869056,79.89006
133,6.848007,79.926191
134,6.835231,79.867395
135,6.841371,79.964009
136,6.856823,79.917059
137,5.941428,80.467146
138,5.940443,80.470547
139,5.938977,80.482971
140,9.732938,80.097007
141,6.762999,79.967016
142,6.137752,80.114055
143,6.144874,80.777626
144,6.063929,80.731231
145,6.072881,80.734018
146,6.927025,79.940421
147,6.924623,79.940344
148,6.922501,79.940494
149,6.922331,79.941762
150,6.918575,79.942207
151,6.4778,79.982843
152,7.105445,80.560486
153,7.104217,80.558553
154,7.098803,80.558172
155,6.908902,80.081194
156,7.335516,80.300224
157,6.843556,79.957404
158,6.84612,79.949311
159,6.057842,80.217617
160,6.058255,80.217268
161,6.057655,80.217673
162,6.057594,80.217531
163,6.845357,79.938792
164,6.96139,80.008084
165,6.830051,80.992211
166,7.06606,80.539586
167,6.021943,80.247356
168,6.768942,80.960634
169,6.788418,81.017972
170,6.768206,80.958719
171,7.856591,80.652292
172,7.951693,80.755905
173,6.88748,79.864636
174,6.841763,79.962958
175,6.84225,79.962458
176,6.84089,79.966104
177,6.839249,79.972841
178,6.838732,79.97951
179,6.845817,79.952345
180,6.846267,79.949545
181,6.845204,79.943232
182,6.845292,79.943387
183,6.845966,79.928385
184,6.845444,79.929895
185,6.846762,79.928058
186,6.82123,79.980321
187,6.821235,79.979972
188,6.826673,79.976265
189,6.82458,79.977654
190,6.82458,79.978084
191,6.826892,79.976016
192,6.828868,79.976474
193,6.829027,79.975949
194,6.8294,79.970005
195,6.829027,79.969951
196,6.829826,79.973331
197,6.830071,79.973546
198,6.832873,79.964818
199,6.832773,79.964633
200,6.832953,79.964563
201,6.830892,79.962677
202,6.831137,79.962495
203,6.829496,79.961872
204,6.829628,79.961574
205,6.836836,79.965166
206,6.835148,79.965362
207,6.836463,79.965032
208,6.834797,79.965145
209,6.827089,79.960768
210,6.827056,79.960427
211,6.819248,79.981227
212,6.81841,79.981131
213,6.816604,79.982422
214,6.869201,79.890111
215,6.845607,79.938074
216,6.84468,79.934303
217,6.844775,79.932774
218,6.845207,79.935263
219,6.844656,79.932581
220,6.137578,80.09976
221,6.931981,79.847045
222,7.266018,80.582479
223,6.890892,80.057385
224,6.586005,79.960198
225,8.625624,80.984897
226,6.932427,79.891844
227,6.932539,79.888969
228,6.936299,79.895465
229,6.932731,79.888507
230,6.937597,79.895773
231,6.932587,79.891479
232,6.932161,79.886206
233,6.931985,79.885557
234,6.9316,79.878038
235,6.931612,79.878208
236,6.931224,79.87862
237,6.929701,79.878186
238,6.128076,80.10462
239,6.126017,80.107328
240,6.906499,80.059602
241,6.932362,79.893874
242,6.932908,79.893704
243,6.91661,79.877713
244,6.917904,79.874634
245,6.890549,79.864187
246,5.979601,80.519371
247,6.841785,80.004148
248,6.07826,80.251179
249,6.075799,80.26281
250,6.077758,80.275673
251,6.079541,80.284354
252,6.080852,80.285752
253,6.091367,80.306692
254,6.095244,80.305885
255,6.102167,80.318352
256,6.106845,80.335019
257,6.932671,79.847868
258,6.665284,79.929988
259,6.664597,79.930106
260,6.670372,79.927292
261,6.670029,79.927662
262,6.720281,79.907374
263,6.711849,79.907633
264,6.71038,79.907406
265,6.716134,79.907456
266,7.301485,80.667033
267,7.316085,80.682394
268,7.25328,80.448317
269,7.251869,80.448357
270,7.213819,79.847566
271,7.221588,79.847027
272,6.909562,79.863776
273,6.913191,79.857024
274,5.93898,80.486424
275,5.939635,80.475997
276,5.942108,80.498302
277,5.942345,80.508317
278,5.943052,80.463435
279,5.949225,80.455873
280,6.013973,80.249563
281,6.877347,79.989384
282,6.05134,80.435926
283,6.051638,80.434122
284,6.816181,79.959148
285,6.816402,79.959167
286,6.474569,79.983783
287,6.110185,80.932493
288,6.79493,79.900953
289,6.796616,79.888261
290,6.020229,80.261141
291,6.933023,80.893864
292,6.875371,79.899185
293,6.910249,79.894563
294,6.910084,79.89452
295,6.004635,80.519114
296,6.054046,80.658376
297,6.343913,80.33875
298,6.250781,80.267739
299,6.259843,80.264354
300,6.297085,80.251516
301,6.283127,80.394604
302,6.024449,80.517109
303,6.073931,80.898462
304,6.813124,79.966179
305,6.795641,79.898606
306,7.066224,80.553574
